[12:00:54] [Client thread/INFO]: Setting user: Player406
[12:00:54] [Client thread/INFO]: (Session ID is token:0:Player406)
[12:00:56] [Client thread/INFO]: LWJGL Version: 2.9.4
[12:00:56] [Client thread/INFO]: Reloading ResourceManager: Default
[12:00:56] [Sound Library Loader/INFO]: Starting up SoundSystem...
[12:00:57] [Thread-8/INFO]: Initializing LWJGL OpenAL
[12:00:57] [Thread-8/INFO]: (The LWJGL binding of OpenAL.  For more information, see http://www.lwjgl.org)
[12:00:58] [Thread-8/INFO]: OpenAL initialized.
[12:00:58] [Sound Library Loader/INFO]: Sound engine started
[12:01:02] [Client thread/INFO]: Created: 1024x512 textures-atlas
[12:02:08] [Server thread/INFO]: Starting integrated minecraft server version 1.8.8
[12:02:08] [Server thread/INFO]: Generating keypair
[12:02:09] [Server thread/INFO]: Preparing start region for level 0
[12:02:10] [Server thread/INFO]: Preparing spawn area: 50%
[12:02:10] [Server thread/INFO]: Changing view distance to 8, from 10
[12:02:11] [Server thread/INFO]: Player406[local:E:2511527d] logged in with entity id 283 at (1012.7986176890291, 74.0, 957.0046320194239)
[12:02:11] [Server thread/INFO]: Player406 がゲームに参加しました
[12:02:11] [Client thread/INFO]: [CHAT] §e§lEduCraft§r§fへようこそ！§r §fTABGUIは§e§n矢印キー§r§fで操作できます。
[12:02:20] [Thread-17/INFO]: [CHAT] §eEduCraft§7: コンパイルに成功しました
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
[12:02:21] [Thread-18/INFO]: [CHAT] §eEduCraft§7: §f
